movie_length,movie_show_time,movie_name,movie_img_url,movie_director,movie_rate,movie_country,movie_language,movie_description,movie_type,movie_actors
片长：93分钟,none,龙虾刑警 ,https://img.alicdn.com/bao/uploaded/i4/TB1AfKqhZIrBKNjSZK9XXagoVXa_.jpg_300x300.jpg,导演：李昕芸,7.7,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：话唠杜宇飞(王千源 饰）、处于半退休状态的能叔（刘桦 饰）、恨嫁女花姐(袁姗姗 饰）)以及新人陈笠（周游 饰）组成的不靠谱缉毒刑警小队，为了更隐蔽地监视毒贩，他们盘下隔壁的龙虾店。却不料生意火爆起来。在一边经营龙虾店一边搜寻线索时闹出一系列荒唐笑话，而围绕这家龙虾店，还隐藏着一个更大的阴谋.......,"类型：喜剧,犯罪,动作","主演：王千源,袁姗姗,刘桦,周游,周云鹏,张锦程,沈腾"
片长：126分钟,none,超人总动员2 ,https://img.alicdn.com/bao/uploaded/i1/TB1MocOh67nBKNjSZLeXXbxCFXa_.jpg_300x300.jpg,导演：布拉德·伯德,9.1,制片国家/地区：美国,语言：英语,剧情介绍：深受喜爱的超人家族将在《超人总动员2》中强势回归，只不过这次站在聚光灯下的是弹力女超人海伦，而超能先生巴鲍勃则在家照料巴小倩和巴小飞，过起了“正常人”的居家生活。这一角色转换对于每个家庭成员来说都是艰难的，更何况他们都还没意识到宝宝巴小杰的超能力已经悄然增长。当剧中新反派开始酝酿一个狡诈危险的阴谋，超人家族必须联合酷冰侠的力量团结对外——然而即使各自都有超能力，真正做起来却是知易行难。,"类型：动画,动作,冒险","主演：格雷格·T·尼尔森,霍利·亨特,塞缪尔·杰克逊,莎拉·沃威尔,赫克·米尔纳"
片长：115分钟,none,策反 ,https://img.alicdn.com/bao/uploaded/i4/TB135jPk_XYBeNkHFrdXXciuVXa_.jpg_300x300.jpg,导演：韦廉,0,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：渡江战役前夕，为了确保大军顺利渡江，堵截国民党军队的退路，由周峰领导的中共上海地下党组织，积极开展策反国民党部队起义的活动，地下党员们争取到了上海爱国商人的大力支持和掩护，先后策反了海、陆、空等多支国民党军队投诚，确保了人民解放军顺利渡江，加速了蒋家王朝的灭亡。,类型：战争,"主演：刘端端,尹玲,韩夫一,卢海华"
片长：90分钟,none,别离 ,https://img.alicdn.com/bao/uploaded/i3/TB1Kyb9RFXXXXapXXXXXXXXXXXX_.jpg_300x300.jpg,导演：彭韬,7.4,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：60岁的赵素贞和自己的弱智儿子相依为命30多年.在赵素贞的生命将要走向终点的最后时刻，她尝试着为她的弱智儿子安排以后的生活，但是都没有成功， 她知道她死后没有人能照顾她的弱智儿子，为了不让儿子悲惨的生活，她决定在自己死之前将儿子带走……,类型：剧情,"主演：李勤勤,肥龙"
片长：90分钟,none,恐怖浴室 ,https://img.alicdn.com/bao/uploaded/i4/TB1KVNspqSWBuNjSsrbXXa0mVXa_.jpg_300x300.jpg,导演：陆诗雨,5.2,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：富家少女崔淼在浴室遭遇“水鬼”袭击，惊慌失措，心力憔悴。别墅内不时有诡异暗影飘过，窗棂处传来令人不安的声音，浴室更成了家人望而却步的场所。是母亲自杀的灵魂归来制造麻烦，还是父亲忏悔的心理导致变态行为，抑或只是梦境作祟？经过众人多方调查，这一切，竟然与美少女父亲曾经的狐朋狗友有关……是逝者的复仇，还是活人的诅咒，声声尖叫中，浴室谜团期待终极答案。,"类型：恐怖,惊悚","主演：张星阑,刘国光,吴洋,宋天湙"
片长：132分钟,none,动物世界 ,https://img.alicdn.com/bao/uploaded/i2/TB12rA7xVOWBuNjy0FiXXXFxVXa_.jpg_300x300.jpg,导演：韩延,0,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：男主角郑开司因被朋友欺骗而背负上数百万的债务，面对重病的母亲和痴心等待的青梅竹马，他决心登上“命运号”游轮，改变自己一事无成的人生。只要能在渡轮上的游戏中获胜，他就将有机会将债务一笔勾销，并给家人带来更好的生活。这场游戏看似简单，参与者只需以标着“石头，剪刀，布”的扑克为道具，赢取对手身上的星星标志。但游轮上的亡命徒们毫无底线的欺诈争夺，却让人性的自私与残酷暴露无遗，局中局、计中计，让游戏场最终沦为“动物世界”斗兽场。面对绝境的郑开司，能否坚守自我底线保持善良本性？能否凭借自己的智慧和坚韧摆脱困境？这是一场自我救赎的残酷游戏，多重考验也将接踵而至。,"类型：剧情,动作,冒险","主演：李易峰,迈克尔·道格拉斯,周冬雨,王戈"
片长：176分钟,none,三体 ,https://img.alicdn.com/bao/uploaded/i2/TB13LuvLpXXXXc0XpXXXXXXXXXX_.jpg_300x300.jpg,导演：张番番,0,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：2020年，数百名物理学家死于非命；中国专家汪淼的眼中也出现倒计时，随后发现一款游戏中一个在三日下煎熬的“灾难星球”竟真实存在，那里的“三体文明”400年后即将达到地球；一场未来的浩劫摆在人类面前……,"类型：剧情,科幻","主演：冯绍峰,张静初,唐嫣,杜淳"
片长：100分钟,none,食神归来 ,https://img.alicdn.com/bao/uploaded/i2/TB1xp5HPpXXXXbeXXXXXXXXXXXX_.jpg_300x300.jpg,"导演：程中豪,王凯",0,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：一位公司女白领被母亲强逼着去学习厨艺，成功转型为美丽女厨娘，夺得世界厨师比赛金奖，同时也收获了爱情。,"类型：青春,喜剧","主演：罗仲谦,林思意,修睿,百克力,林思意"
none,none,武动天地  ,https://img.alicdn.com/bao/uploaded/i2/TB1zo49RFXXXXciaXXXXXXXXXXX_.jpg_300x300.jpg,导演：张之亮,0,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：从小在镖局生活长大的天佑（李淳 饰），他遵循父亲（徐向东 饰）的期望，有朝一日能将祖上传下的拳术发扬光大。然而，天佑却偶然被京剧一招一式的独特韵味深深迷住，决心要成为京剧舞台上的名角儿。,类型：剧情,"主演：池内博之,李淳,欧阳娜娜"
none,none,时间之外  ,https://img.alicdn.com/bao/uploaded/i2/TB1CDJIRVXXXXXxaXXXXXXXXXXX_.jpg_300x300.jpg,导演：刘晓世,0,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：《时间之外》最有趣的地方是，它表现了渺小个体与大世界微妙的关联性，有宏大空间感，让科幻离人们的生活不那么遥远。,"类型：科幻,剧情",主演：
none,none,放羊的星星 ,https://img.alicdn.com/bao/uploaded/i2/TB1ccD6f8DH8KJjSspnXXbNAVXa_.jpg_300x300.jpg,导演：沈怡,0,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：　　由东阳向上影业有限公司、华谊兄弟娱乐、北京自在传媒出品，由原剧导演沈怡亲自操刀执导，在原剧基础上进行全面改编升级。,"类型：剧情,爱情",主演：
none,none,发财日记  ,https://img.alicdn.com/bao/uploaded/i1/TB11C2qfZrI8KJjy0FhXXbfnpXa_.jpg_300x300.jpg,none,0,制片国家/地区：中国大陆,语言：汉语普通话,none,类型：剧情,none
none,none,迷妹罗曼史 ,https://img.alicdn.com/bao/uploaded/i3/TB1bLELXN9YBuNjy0FfXXXIsVXa_.jpg_300x300.jpg,"导演：秦鹏, 李少红",0,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：90后高歌是个充满奇思妙想的科技狂人。为了阻止母亲把他爸爸是歌手罗大佑的谎话告诉全世界，而带着母亲一同去深圳与罗大佑当面对质，然而到达深圳后却不幸与母亲走失，在与好友豆豆及小编导余微的一同寻找下，不仅遇到了母亲的旧时工友，更发现母亲曾经疯狂的青春和传奇性爱情故事。高歌终于消除了对母亲的误解，并与母亲一起踏上寻父之旅。,"类型：爱情,喜剧","主演：闫妮,盛一伦,于小彤,郭姝彤"
片长：90分钟,none,进击的男孩 ,https://img.alicdn.com/bao/uploaded/i1/TB1RsdTiBDH8KJjSszcXXbDTFXa_.jpg_300x300.jpg,导演：许添,0,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：　　影片讲述的是2005-2015年，主人公顾好（庞瀚辰 饰）从18岁到28岁，十年间的奋斗经历。顾好的小小梦想也影射了当代青年的中国梦。顾好是一个小城电台的普通小DJ，突然有一天他想要拍一部电影，所有人都笑他痴人说梦，他却真的写出了剧本。就在他拿着剧本找好投资，准备去北京向曾经的女友现在的大明星秦笑（李艾 饰）求婚之时，却传来了秦笑结婚的消息。十年的情感之路分分合合，爱让两人都已经成为更好的自己。他还会像之前那样那么怂吗?从男孩到男人，责任和担当在此刻激励着他……顾好，这进击的男孩能否梦想成真?,"类型：喜剧,爱情","主演：李艾,庞瀚辰,包文婧,李林,马睿,蒋诗萌,黄晋琨,许添"
片长：110分钟,none,天下第一镖局  ,https://img.alicdn.com/bao/uploaded/i3/TB1_tjGaRUSMeJjSszcXXbnwVXa_.jpg_300x300.jpg,导演：陶盟喜,0,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：影片取材于真实历史当中陈圆圆的故事，讲述了清朝初年，吴三桂死后，手下的得力干将马宝为保护其妻小寻地藏身、伺机而动，陈圆圆这一家喻户晓的历史佳人，在镖局的护卫下，克服重重阻力，最终得以到黔的故事。现实当中，很少有人知道陈圆圆到底魂归何处?所以这个谜成为中国历史十大未解之谜之一!而这部影片也将解答这个谜团。,"类型：动作,古装","主演：樊少皇,车永莉,释彦能,李蓝妮,吕良伟"
片长：93分钟,none,精灵怪物：疯狂之旅 ,https://img.alicdn.com/bao/uploaded/2/TB1dXKsjBmWBuNkSndVXXcsApXa_.jpg_300x300.jpg,导演：胡戈尔·坦普,0,制片国家/地区：德国,语言：德语,"剧情介绍：维西本一家不是一个幸福的家庭。妈妈，埃玛，经营一家深受债务困扰的书店；爸爸，弗兰克，有一个专横的老板，还经常加班；女儿，费伊，一个自我意识很强的青少年，迷恋上了她的一个同学；而天才儿子麦克斯在学校被欺负。而这并没有结束——在化装舞会上，一个邪恶的女巫Baba Yaga把他们变成了怪物！埃玛变成了吸血鬼，弗兰克变成了弗兰肯斯坦，费伊变成了木乃伊，麦克斯变成了狼人。这个怪物家庭必须在地球的另一端追上女巫，以扭转诅咒。在这个大冒险中，维西本一家遇到了其它怪物，尤其是无法抗拒的、魅力十足的吸血鬼伯爵德古拉，他千方百计地想让深爱的埃玛抛弃家庭。
好吧，通往家庭幸福的道路充满了陷阱和急转弯，或者还有锋利的牙齿……","类型：动画,喜剧,家庭","主演：艾米丽·沃森,詹森·艾萨克,尼克·弗罗斯特,杰西卡·布朗-芬德利,西莉亚·伊姆里,西莉亚·伊姆瑞,凯瑟琳·塔特"
none,none,寄居者  ,https://img.alicdn.com/bao/uploaded/i2/TB1IDPYMXXXXXXzXVXXXXXXXXXX_.jpg_300x300.jpg,导演：凯文·科斯特纳,0,制片国家/地区：中国大陆,语言：汉语普通话,"剧情介绍：影片根据严歌苓的小说改编,讲述二战时期犹太人在上海避难的故事,题材厚重,格局庞大,充满了跌宕起伏的正义与邪恶冲突。","类型：战争,剧情,爱情",主演：马克·沃尔伯格
none,none,学区房83弄  ,https://img.alicdn.com/bao/uploaded/i4/TB1e_6YqiCYBuNkHFCcXXcHtVXa_.jpg_300x300.jpg,导演：陈晓鸣,0,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：某大学副教授傅重为了让女儿进入市重点小学，在72小时内出售现有房子，凑足钱款，买下对口学校的学区房。由于时间紧迫，付重不得不以200万价格降价出售，钟点工牛阿姨声称儿子小宝正急于购买婚房，拿出自己多年的积蓄，双方一拍即合，立刻签约。正在皆大欢喜的时候，傅重又接到坏消息——卖方坐地起价40万。付重正为难之际，中介来电说有客户愿以市场价250万一次性付款购买傅重的住宅，这样，所有问题便可解决…… 而这位客户，正是有求于傅重的学生家长袁主席。是坚守诚信与牛阿姨履行合约，还是为孩子的未来，毁约将住宅高价转售他人，傅重面临两难抉择……,类型：剧情,"主演：管轩,徐幸,傅淼"
none,none,八个女人一台戏 ,https://img.alicdn.com/bao/uploaded/i4/TB1gvB0eNSYBuNjSsphXXbGvVXa_.jpg_300x300.jpg,导演：关锦鹏,0,制片国家/地区：中国香港,语言：粤语,剧情介绍：电影《八个女人一台戏》以著名的“香港中环大会堂”为背景，展现女人之间的尔虞我诈、勾心斗角。,"类型：都市,剧情","主演：郑秀文,梁咏琪,白百何,赵雅芝,齐溪"
片长：0分钟,none,她杀  ,https://img.alicdn.com/bao/uploaded/i3/TB1FjoQim_I8KJjy0FoXXaFnVXa_.jpg_300x300.jpg,导演：曹保平,0,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：毕业季，四位大学女生畅想着未来，浑然不觉一场事故竟让彼此的友情经受到前所未有的考验。十年后，因为这场事故，女孩们各自的人生都发生了翻天覆地的变化。机缘巧合下，当年的事件再次被追溯。爱与复仇之下，一场人性的争斗，正在上演……,类型：剧情,"主演：黄轩,范冰冰"
none,none,心理大师  ,https://img.alicdn.com/bao/uploaded/i2/TB1kpQ.i3vD8KJjy0FlXXagBFXa_.jpg_300x300.jpg,导演：白一骢,0,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：《心理大师》是畅销书作家钟宇的代表作品。该作品的影视版权已签约腾讯影业，电视剧项目由《老九门》制作人白一聪担任监制和编剧。,类型：悬疑,none
none,none,霹雳再现 ,https://img.alicdn.com/bao/uploaded/i1/TB1lHMFMpXXXXc_XVXXXXXXXXXX_.jpg_300x300.jpg,导演：高飞,0,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：电影《霹雳再现》是一部软科幻题材的喜剧电影。出品方透露“霹雳团队”有超能有搞笑还有亲情。,"类型：喜剧,科幻",主演：吴建豪 张小斐 白凯南 于谦
none,none,心理罪之暗河  ,https://img.alicdn.com/bao/uploaded/i3/TB1xFLxMXXXXXc9XVXXXXXXXXXX_.jpg_300x300.jpg,导演：龚朝,0,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：嘉映影业2016片单，雷米畅销小说双箭齐发，李樯倾力打造，华语犯罪类型电影新标杆。,"类型：剧情,犯罪",none
none,none,奇怪的同居  ,https://img.alicdn.com/bao/uploaded/i4/TB1gw1_MXXXXXayXFXXXXXXXXXX_.jpg_300x300.jpg,"导演：金亨骏,金亨俊",0,"制片国家/地区：中国大陆,韩国",语言：汉语普通话,剧情介绍：讲述了两男一女住在同一屋檐下的轻松搞笑故事。两位男主为了将别墅租给漂亮的韩国女孩而阴差阳错地撒了一个美丽的谎言。在三人奇妙的同居过程中，两人同时都爱上了美丽的女主，可是由于那个不可说的“秘密”，二人只能私下相互竞争。,"类型：喜剧,爱情",主演：余少群 金桢勋 金多顺
none,none,甄嬛传 ,https://img.alicdn.com/bao/uploaded/i3/TB1akIXlCfD8KJjSszhXXbIJFXa_.jpg_300x300.jpg,导演：郑晓龙,0,制片国家/地区：中国大陆,语言：汉语普通话,"剧情介绍：2015年3月25日下午，小马奔腾在第39届香港国际电影节上举办了2015年新片项目发布会，集团副总裁李立功、影业总经理陈雷出席了活动。去年，小马奔腾遭遇内部纷争，不过，《心花路放》，《太平轮》，《匆匆那年》几部小马出品的影片也在电影市场上获得了不同程度的反响。此番亮相香港电影节，小马奔腾也公布了扶持新导演，加强国际合作，打造全方位ip等电影板块的未来三大发展方向。 　　
此外，小马奔腾还拿下历史古装大剧《甄嬛传》电影改编版权，《甄嬛传》电视剧收视率火爆，剧中演员们也身神加倍涨，甚至剧集都火到了美国。在这个各大电影公司竞逐热门ip的当下，《甄嬛传》自然不会被忽略。据小马奔腾方面透露，他们将于2015年将这个掀起国内外收视狂潮的电视剧打造为全方位IP。而对于是否邀请原班人马出演电影版，小马奔腾影业总经理陈雷表示，还将做近一轮调研：“一切以市场为主，根据观众的意愿来定。","类型：剧情,古装",none
none,none,去月球  ,https://img.alicdn.com/bao/uploaded/i2/TB1.xR5jhuTBuNkHFNRXXc9qpXa_.jpg_300x300.jpg,none,0,"制片国家/地区：中国大陆,日本","语言：汉语普通话,英语,日语",剧情介绍：　　《去月球》动画电影编剧仍由高瞰担任，人设基于游戏原型重新设计，在剧情上高度还原游戏剧情，团队质量和对应资源也将有所保障，阵容很大，相当于国家队的制作团队。 　　《去月球》游戏的故事讲述了一个博士专门为弥留之际的人们完成最后的心愿，而这次游戏中的老人最后的心愿竟然是“去月球”，这其中曲折的原委，究竟是怎样的一回事，需要玩家你到游戏中去慢慢的寻找出答案了。本作感人的剧情定会在每位玩家心中掀起波澜，甚至在最后经历故事结局之时潸然泪下。,"类型：动画,冒险",none
none,none,气·球  ,https://img.alicdn.com/bao/uploaded/i3/TB1akIXlCfD8KJjSszhXXbIJFXa_.jpg_300x300.jpg,导演：万玛才旦,0,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：达杰一家有六口，达杰，父亲，老婆和三个儿子，过着普通而日常的生活。突然有一天，父亲在放羊时意外去世。因此，这个家庭原有的和谐给打破了，引发了一系列棘手而又不得不面对的问题。,类型：剧情,none
none,none,上大学  ,https://img.alicdn.com/bao/uploaded/i3/TB1L6RnopGWBuNjy0FbXXb4sXXa_.jpg_300x300.jpg,导演：刘健,0,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：　　90年代初发生在南方艺术大学美术系的一段青春轶事。在浪漫又残酷的青春岁月里，现实生活交织着艺术追求，理想抱负，在刘健式黑色幽默的表达之下，展现出一幅不一样的青春画卷。,类型：剧情,none
none,none,昆仑神宫  ,https://img.alicdn.com/bao/uploaded/i3/TB1akIXlCfD8KJjSszhXXbIJFXa_.jpg_300x300.jpg,导演：非行,0,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：　　根据天下霸唱小说《鬼吹灯》系列之《龙岭迷窟》、《云南虫谷》、《昆仑神宫》改编的三部曲电影将于2016年下半年正式开机。并预计于2017、2018、2019年每年一部全球同步公映。本次拍摄的《龙岭迷窟》、《云南虫谷》、《昆仑神宫》三部曲电影为《鬼吹灯》前四部当中的三部，而三部电影都将由导演非行执导。,"类型：动作,冒险",none
none,none,速度与激情10 ,https://img.alicdn.com/bao/uploaded/i3/TB1akIXlCfD8KJjSszhXXbIJFXa_.jpg_300x300.jpg,none,0,制片国家/地区：美国,语言：英语,剧情介绍：　　《速度与激情》（Fast and Furious）系列主演兼制片人文·迪塞尔（Vin Diesel）在Facebook上透露，他还要再拍三集才会结束这个系列。 　　迪塞尔说：“环球公司一直对我非常好，给予我充分的信任，我们就像一家人。我向他们承诺过，我会再拍三集来结束这个系列。” 　　不过文·迪塞尔今天回应说，这个系列对自己十分特别，因此会处处小心对待。而且目前《速度与激情8》还没有剧本，更别提邀请导演了。不过他将很快宣布新的导演人选，让广大粉丝不要担心。 　　《速度与激情8》将于2017年4月14日上映，而《速度与激情9》恐怕要等到四、五年后才能与观众见面了，至于《速度与激情10》则至少要到2020年后。,"类型：动作,惊悚,犯罪",none
